s_no,input_size,sort_time(s)
1,1,5.0067901611328125e-05
2,1,2.9087066650390625e-05
3,1,2.574920654296875e-05
4,1,2.384185791015625e-05
5,2,4.220008850097656e-05
6,2,3.886222839355469e-05
7,3,5.412101745605469e-05
8,3,5.1975250244140625e-05
9,4,7.081031799316406e-05
10,5,8.797645568847656e-05
11,6,0.0001049041748046875
12,7,0.00012302398681640625
13,9,0.00016689300537109375
14,11,0.00020194053649902344
15,13,0.0002541542053222656
16,16,0.0010917186737060547
17,20,0.0005350112915039062
18,24,0.0008072853088378906
19,29,0.0006608963012695312
20,35,0.0008080005645751953
21,42,0.0010018348693847656
22,51,0.0013210773468017578
23,62,0.001634836196899414
24,75,0.001981973648071289
25,91,0.0024950504302978516
26,109,0.0029633045196533203
27,132,0.003962993621826172
28,159,0.0042040348052978516
29,193,0.00494694709777832
30,232,0.005857706069946289
31,281,0.007604122161865234
32,339,0.008695125579833984
33,409,0.010297060012817383
34,494,0.012878179550170898
35,596,0.015970945358276367
36,719,0.020220279693603516
37,868,0.02534198760986328
38,1048,0.03311324119567871
39,1264,0.03918170928955078
40,1526,0.04986000061035156
41,1842,0.06995916366577148
42,2222,0.07409310340881348
43,2682,0.09003496170043945
44,3237,0.11102104187011719
45,3906,0.1417999267578125
46,4714,0.17156195640563965
47,5689,0.2133634090423584
48,6866,0.26781296730041504
49,8286,0.32585906982421875
50,10000,0.40730714797973633
